Grid;Lat/Lon hddd°mm.mmm';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;WGS 84;Supposed Vent;780000;10005500;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;wt%;;;
Name;Position;;Position UTM WGS84;;Distance Vent;Altitude;Thickness;Mass/area;Size -7 phi;Size -6 phi;Size - 5 phi;Size - 4 phi;Size - 3 phi;Size - 2 phi;Size - 1 phi;Size 0 phi;Size 1 phi;Size 2 phi;Size 3 phi;Size 4 phi;Size 5 phi;Size 6 phi;Size 7 phi;Size 8 phi;Size 9 phi;Size 10 phi;Size 11 phi;total;Md(phi);Sorting;SkG
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PL63;-78.555366;-0.029812;772110;9996702;11.81765222;2604;17.0;170.0;0.0000;4.9271;6.7467;9.4238;11.2589;12.6871;12.5003;12.8113;13.6661;10.3777;3.7572;0.6639;0.4344;0.4974;0.1691;0.0618;0.0144;0.0027;0.0002;100.0000;-1.6;2.77;-0.06
PL64;-78.573133;-0.073969;770131;9991817;16.87073353;2898;12.0;120.0;0.0000;0.0000;5.0368;4.2553;10.2398;13.7587;15.0964;15.1668;17.6239;12.3928;4.2821;0.7266;0.4053;0.6805;0.2441;0.0728;0.0148;0.0030;0.0002;99.9999;-0.89;2.29;-0.07
PL65;-78.535396;-0.089694;774334;9990077;16.43083945;3206;11.0;110.0;0.0000;0.0000;2.8318;6.6034;8.0830;12.9993;14.7922;16.1918;18.5394;13.0847;4.2870;0.7039;0.5685;0.8497;0.3268;0.1100;0.0236;0.0048;0.0004;100.0000;-0.71;2.25;-0.1
PL66;-78.518113;-0.080934;776259;9991046;14.93027786;2994;12.0;120.0;0.0000;0.0000;6.9832;5.6763;9.6246;12.0919;14.2062;15.0147;17.2685;12.6154;3.9591;0.7513;0.5736;0.8154;0.2849;0.1055;0.0243;0.0048;0.0004;100.0000;-0.91;2.45;-0.12
PL67;-78.511524;-0.054785;776993;9993939;11.94565904;3196;19.0;190.0;0.0000;0.0000;5.7971;13.7526;15.8839;14.0772;11.9289;11.6980;12.6364;9.1831;3.3623;0.6016;0.3903;0.4471;0.1644;0.0585;0.0150;0.0034;0.0002;100.0000;-1.96;2.56;0.1
PL68;-78.492015;-0.049687;779166;9994503;11.02857946;3233;19.0;190.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL69;-78.420708;0.124352;787108;10013759;10.89654739;2019;13.0;130.0;0.0000;0.0000;0.0000;3.6145;2.8609;6.6970;10.5312;16.6980;24.0971;23.4590;8.8118;0.9418;0.7992;0.8754;0.3678;0.1853;0.0498;0.0109;0.0003;100.0000;0.4;1.78;-0.2
PL70;-78.40531;0.13826;788823;10015298;13.18507235;1835;13.0;130.0;0.0000;0.0000;1.9527;0.8677;1.4252;3.4165;9.2618;16.4165;26.5289;26.3316;11.2159;1.0821;0.5116;0.5536;0.2542;0.1347;0.0370;0.0092;0.0006;100.0000;0.63;1.51;-0.15
PL71;-78.433733;0.138489;785657;10015323;11.33547432;1963;11.0;110.0;0.0000;0.0000;0.0000;5.0101;6.4384;11.4724;15.4444;17.2480;19.3763;18.2846;5.1948;0.6196;0.3321;0.3722;0.1351;0.0542;0.0142;0.0032;0.0003;100.0000;-0.33;2.05;-0.11
PL72;-78.408961;0.163386;788415;10018078;15.13335088;2315;7.0;70.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL73;-78.410199;0.173427;788278;10019189;15.99731243;2395;9.0;90.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL74;-78.411259;0.16918;788160;10018719;15.53472114;2391;8.5;85.0;;;;;;;;;;;;;;;;;;;;0.0000;;;
PL75;-78.365613;0.136782;793245;10015135;16.37874385;2326;6.5;65.0;0.00;0.00;0.00;0.00;0.14;1.83;3.71;9.49;24.73;37.80;17.92;2.41;0.81;0.83;0.26;0.06;0.01;0.00;0.0001;100.0000;1.27;1.16;-0.06
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
